docket_id,court_id
63952236,washctapp
63952238,washctapp
63952314,washctapp
63952329,washctapp
63952347,washctapp
63952348,washctapp
63952349,washctapp
63952363,washctapp
63952364,washctapp
63952382,washctapp
63952386,washctapp
63952417,washctapp
63952421,washctapp
63952500,washctapp
63952501,washctapp
63952458,washctapp
63952517,washctapp
63952519,washctapp
63952668,washctapp
63952723,washctapp
63952759,washctapp
63952735,washctapp
63952743,washctapp
63952794,washctapp
63952765,washctapp
63952822,washctapp
63952823,washctapp
63952860,washctapp
63952914,washctapp
63952916,washctapp
63952918,washctapp
63952965,washctapp
63952967,washctapp
63952993,washctapp
63953003,washctapp
63953027,washctapp
63953058,washctapp
63953127,washctapp
63953164,washctapp
63953223,washctapp
63953251,washctapp
63953402,washctapp
63953458,washctapp
63953421,washctapp
63953469,washctapp
63953471,washctapp
63953496,washctapp
63953509,washctapp
63953510,washctapp
63953512,washctapp
63953516,washctapp
63953575,washctapp
63953577,washctapp
63953579,washctapp
63953605,washctapp
63953622,washctapp
63953625,washctapp
63953723,washctapp
63953725,washctapp
27338978,washctapp
27338979,washctapp
63953753,washctapp
63953764,washctapp
63953789,washctapp
63953856,washctapp
63953938,washctapp
63953990,washctapp
63954055,washctapp
63954056,washctapp
63954095,washctapp
63954123,washctapp
63954231,washctapp
63954233,washctapp
63954235,washctapp
63954229,washctapp
63954251,washctapp
63954329,washctapp
63954331,washctapp
63954333,washctapp
63954352,washctapp
63954354,washctapp
63954427,washctapp
63954403,washctapp
63954467,washctapp
63954479,washctapp
63954557,washctapp
63954559,washctapp
63954561,washctapp
63954592,washctapp
63954593,washctapp
63954656,washctapp
63954669,washctapp
63954670,washctapp
63954672,washctapp
63954705,washctapp
63954769,washctapp
63954823,washctapp
63954896,washctapp
63954912,washctapp
63954914,washctapp
63954985,washctapp
63954966,washctapp
63954987,washctapp
63954968,washctapp
63955069,washctapp
63955116,washctapp
63955107,washctapp
63955119,washctapp
63955173,washctapp
63955175,washctapp
63955135,washctapp
63955217,washctapp
63955219,washctapp
63955225,washctapp
63955245,washctapp
63955246,washctapp
63955247,washctapp
63955316,washctapp
63955289,washctapp
63955291,washctapp
63955293,washctapp
63955340,washctapp
63955342,washctapp
63955346,washctapp
63955348,washctapp
63955350,washctapp
63955352,washctapp
63955355,washctapp
63955356,washctapp
63955364,washctapp
63955366,washctapp
63955379,washctapp
63955377,washctapp
63955381,washctapp
63955387,washctapp
63955389,washctapp
63955395,washctapp
63955397,washctapp
63955399,washctapp
63955407,washctapp
63955409,washctapp
63955419,washctapp
63955422,washctapp
63955432,washctapp
63955459,washctapp
63955501,washctapp
63955515,washctapp
63955558,washctapp
63955535,washctapp
63955560,washctapp
63955594,washctapp
63955596,washctapp
63955584,washctapp
63955661,washctapp
63955662,washctapp
63955663,washctapp
63955674,washctapp
63955670,washctapp
63955671,washctapp
63955700,washctapp
63955754,washctapp
63955750,washctapp
63955757,washctapp
63955791,washctapp
63955794,washctapp
63955864,washctapp
63955866,washctapp
63955923,washctapp
63955930,washctapp
63955968,washctapp
63955970,washctapp
63955974,washctapp
63955976,washctapp
63955984,washctapp
63955986,washctapp
63955990,washctapp
63955992,washctapp
63955995,washctapp
63956003,washctapp
64020458,washctapp
